meitou;Meitou;Meitou;Meitou;;Meitou;;;;;;;;;x
meitou_desc;You have been given your father's famous sword;Vous avez reçu la fameuse épée de votre père.;Ihr habt das berühmte Schwert Eures Vaters erhalten.;;Te han entregado la famosa espada de tu padre;;;;;;;;;x
nightingale_floor;Nightingale Floor;Plancher rossignol;Nachtigallenboden;;Suelo de ruiseñor;;;;;;;;;x
nightingale_floor_desc;The chirping sound of feet upon nightingale floor makes sure no one can sneak through undetected;Le sifflement de mon plancher rossignol empêche quiconque de se faufiler sans se faire remarquer.;Das zirpende Geräusch von Fußtritten auf einem Nachtigallenboden sorgt dafür, dass sich niemand unentdeckt einschleichen kann.;;El gorjeante sonido de pies sobre el suelo de ruiseñor impide que nadie pueda pisarlo sin ser detectado.;;;;;;;;;x
climb_mountfuji;Climber of Mount Fuji;Grimpeur du mont Fuji;Besteiger des Fuji;;Escalador del monte Fuji;;;;;;;;;x
climb_mountfuji_desc;You spare no expense when attempting to climb Mount Fuji;Vous dépensez sans compter pour tenter de grimper le mont Fuji.;Für Euren Versuch, den Fuji zu besteigen, scheut Ihr keine Kosten.;;No reparas en gastos cuando intentas coronar el monte Fuji;;;;;;;;;x
no_garden;No Garden;Pas de jardin;Kein Garten;;Sin jardín;;;;;;;;;x
no_garden_desc;You save money but lose honor;Vous économisez de l’argent, mais perdez de l’honneur.;Ihr spart Geld, aber verliert an Ehre.;;Ahorras dinero pero pierdes honor;;;;;;;;;x
chaniwa_garden;The Chaniwa Garden;Jardin chaniwa;Der Chaniwa-Garten;;El jardín Chaniwa;;;;;;;;;x
chaniwa_garden_desc;The Chaniwa Garden, with its tea house, is perfect for entertaining guests;Le jardin chaniwa, avec sa maison de thé, est parfait pour accueillir des hôtes.;Der Chaniwa-Garten ist dank seines Teehauses perfekt zur Unterhaltung seiner Gäste geeignet.;;El jardín Chaniwa, con su casa de té, es perfecto para atender a invitados.;;;;;;;;;x
tsukiyama_sensei;The Tsukiyama Garden;Jardin tsukiyama;Der Tsukiyama-Garten;;El jardínTsukiyama;;;;;;;;;x
tsukiyama_sensei_desc;The hill in the Tsukiyama Garden is a beautiful and perfect vantage point;La colline du jardin tsukiyama est magnifique et bénéficie d’une position avantageuse.;Der Hügel im Tsukiyama-Garten ist wunderschön und ein perfekter Aussichtspunkt.;;La colina del jardín Tsukiyama es una hermosa y perfecta posición estratégica.;;;;;;;;;x
karesansui_garden;The Karesansui Garden;Jardin karesansui;Der Karesansui-Garten;;El jardín Karesansui;;;;;;;;;x
